Company_Name,Founder_Name,Founder_linkedin_id,No_of_Employees,Funding_Type,Year_Founded,Software_Type,Industry_Type,Category,Size_of_Company,Company_Website,Company_Linkedin_id,City,Address,Short_Desription
Qwipt,Willie Witten,https://www.linkedin.com/in/williewitten/,1-10 employees,Self-funded,2018,B2B SaaS,"Entertainment, Hospitality, Travel",Automation,Startup,www.qwipt.com,https://www.linkedin.com/company/qwipt/about/,Austin,"5540 N Lamar Blvd, Austin, Texas 78756, US",GPS tracking device
Rabbet,Will Mitchell,https://www.linkedin.com/in/mitchellrw/,11-50 employees,VC-funded,2017,B2B SaaS,Construction,Accounting and Finance,Small,rabbet.com,https://www.linkedin.com/company/rabbet/about/,Austin,"Austin, TX",Construction finance platform
RackN,Rob Hirschfield,https://www.linkedin.com/in/rhirschfeld/,1-10 employees,Angel or Seed Funding,2014,B2B SaaS,Horizontal,IT Mgt,Startup,www.rackn.com,https://www.linkedin.com/company/rackn/about/,Austin,"4900 Timberline Dr, Austin, TX 78746",Self-managed physical layer data center automation
Radiant RFID,Kenny Ratton,https://www.linkedin.com/in/kennyratton/,11-50 employees,Angel or Seed Funding,2004,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.radiantrfid.com,https://www.linkedin.com/company/radiant-rfid/about/,Austin,"1301 S. Capital of Texas Hwy., A300, Austin, TX 78746, US",Asset visibility and location accuracy for enterprise
Rapid7,Corey E. Thomas,https://www.linkedin.com/in/coreythomas/,1001-5000 employees,Public,2000,B2B SaaS,Horizontal,Cybersecurity,Large,www.rapid7.com,https://www.linkedin.com/company/rapid7/about/,Austin,"401 Congress Ave, Suite 1900, Austin, Texas 78701, US",SecOps platform
RapidDeploy,Steven Raucher,https://www.linkedin.com/in/stevenraucher/,51-200 employees,VC-funded,2014,B2B SaaS,Horizontal,Communications,Medium,www.rapiddeploy.com,https://www.linkedin.com/company/rapiddeploy/about/,Austin,"720 Brazos St. Suite 110, Austin, TX 78701",Computer Aided Dispatch (CAD) and Analytics platform for first responders
Real Savvy,Clay Knight,https://www.linkedin.com/in/clay-knight-9091a82/,11-50 employees,Acquired,2014,B2B SaaS,Real Estate,Business Mgt and ERP,Small,www.realsavvy.com,https://www.linkedin.com/company/realsavvy/about/,Austin,"301 Chicon St, C, Austin, TX 78702, US",All-in-on-platform for real estate brokers and agent teams
Realized,David Wieland,https://www.linkedin.com/in/davidawieland/,11-50 employees,VC-funded,2015,B2B SaaS,Real Estate,Accounting and Finance,Small,www.realized1031.com,https://www.linkedin.com/company/realized/about/,Austin,"111 Congress Ave, Suite 1000, Austin, Texas 78701, US",Investment property wealth management
Rebilly,Adam Altman,https://www.linkedin.com/in/adamdaltman/,11-50 employees,Self-funded,2012,B2B SaaS,Horizontal,Accounting and Finance,Small,www.rebilly.com,https://www.linkedin.com/company/rebilly/about/,Austin,"​3801 N. Capital of Texas Hwy., Austin, TX 78746",Subscription billing management
Rectify,Lisa McComb,https://www.linkedin.com/in/lmccomb/,1-10 employees,Angel or Seed Funding,2018,B2B SaaS,Legal,Document Management,Startup,www.rectifydata.com,https://www.linkedin.com/company/rectifydata/about/,Austin,"701 Brazos St, Austin, Texas 78701, US",Redaction platform
Red Oak Compliance Solutions.,Stephen Pope,https://www.linkedin.com/in/stephen-pope-306ab26/,11-50 employees,Self-funded,2010,B2B SaaS,Horizontal,Compliance,Small,www.redoakcompliance.com,https://www.linkedin.com/company/redoaksoftware/about/,Austin,"1320 Arrow Point Drive, Suite 411, Cedar Park, TX 78613, US",Disclosure review management
Redgate Software,Ennis Kaslofsky,https://www.linkedin.com/in/dennis-kaslofsky-08292a32/,201-500 employees,Self-funded,1999,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,www.red-gate.com,https://www.linkedin.com/company/red-gate-software/about/,Austin,"1705 Guadalupe St, Austin, Texas 78701, US",Compliant database DevOps
ReIntent,Null,Null,1-10 employees,Self-funded,2014,B2B SaaS,Horizontal,Sales and Marketing,Startup,www.reintent.com,https://www.linkedin.com/company/react-games/about/,Austin,"101 W 6th St #606, Austin, TX 78701, US",Contact data accuracy for Salesforce
RelayiQ (Astreya),Brian Borack,https://www.linkedin.com/in/brian-borack-8838601/,1-10 employees,Acquired,2016,B2B SaaS,Horizontal,Analytics and BI,Startup,www.relayiq.com,https://www.linkedin.com/company/relayiq/about/,Austin,"701 Brazos Street, Suite 1626, Austin, TX  78702",Prescriptive and measurable AI insights
RenderDraw,Erik Pilgrim,https://www.linkedin.com/in/erikpilgrim/,1-10 employees,Self-funded,2018,B2B SaaS,Horizontal,Sales and Marketing,Startup,www.renderdraw.us,https://www.linkedin.com/company/renderdraw/about/,Austin,"Austin, TX",3-dimensional platform for Salesforce
Renu Robotics,Tim Matus,https://www.linkedin.com/in/timamatus/,11-50 employees,Angel or Seed Funding,2018,B2B SaaS,Agriculture,Automation,Small,renurobotics.com,https://www.linkedin.com/company/renu-robotics/about/,Austin,"12918 Delivery San Antonio, Texas 78247",Farm and lawn maintenance automation
ResilientGrid,Michael Legatt,https://www.linkedin.com/in/legatt/,1-10 employees,Other,2016,B2B SaaS,"Energy, Gas, Oil, Utilities",Business Mgt and ERP,Startup,www.resilientgrid.com,https://www.linkedin.com/company/resilientgrid/about/,Austin,"7000 North Mopac Expressway, Suite 200, Austin, TX 78731, US",Software for electric utility control rooms
Restaurant365,Tony Smith,https://www.linkedin.com/in/tony-smith-2705335/,51-200 employees,VC-funded,2011,B2B SaaS,Food,Accounting and Finance,Medium,www.restaurant365.com,https://www.linkedin.com/company/restaurant365-cloud-erp-for-restaurants/about/,Austin,"9050 N. Capital of Texas Hwy, Suite 210, Austin, TX 78759, US",Restaurant accounting and store operations software
Restaurantconnect,Adam Christopher,https://www.linkedin.com/in/adamchristopher/,1-10 employees,Self-funded,2011,B2B SaaS,"Entertainment, Hospitality, Travel",Business Mgt and ERP,Startup,restaurantconnect.com,https://www.linkedin.com/company/restaurantconnect/about/,Austin,"Austin, TX",Reservation software for restaurants
ReStream Solutions,Billy Roberts,https://www.linkedin.com/in/billy-roberts-a1811013/,11-50 employees,Self-funded,2016,B2B SaaS,"Energy, Gas, Oil, Utilities",Analytics and BI,Small,restreamsolutions.com,https://www.linkedin.com/company/restreamsolutions/about/,Austin,"6011 W Courtyard Dr #300a, Austin, TX 78730",Oilfield analytics
REthink Real Estate CRM,Vijay Mehra,https://www.linkedin.com/in/vijay7mehra/,11-50 employees,Self-funded,2007,B2B SaaS,Real Estate,Sales and Marketing,Small,www.REthinkCRM.com,https://www.linkedin.com/company/rethinkcrm/about/,Austin,"5323 Levander Loop, Austin, TX 78702",CRm for commercial and residential real estate brokerage firms
Revealix,Adrianna Cantu,https://www.linkedin.com/in/adriannacantu/,1-10 employees,Angel or Seed Funding,2014,B2B SaaS,Healthcare,Automation,Startup,revealix.com,https://www.linkedin.com/company/revealix-inc-/about/,Austin,"Austin, TX",Diabetic limb surveillance
ReviewPush,Lee McNiel,https://www.linkedin.com/in/leemcniel/,11-50 employees,Self-funded,2011,B2B SaaS,Horizontal,Sales and Marketing,Small,www.reviewpush.com,https://www.linkedin.com/company/reviewpush/about/,Austin,"701 Brazos St., Austin, Texas 78701",Online review monitoring
RF Code,Dale Quayle,https://www.linkedin.com/in/dale-quayle-27a8566/,51-200 employees,VC-funded,1997,B2B SaaS,Horizontal,IT Mgt,Medium,www.rfcode.com,https://www.linkedin.com/company/rfcode/about/,Austin,"9229 Waterford Centre Blvd, Building 500, Austin, TX 78758, US",RF code real-time asset tracking
RightGift,Kyle Kothe,https://www.linkedin.com/in/kylekothe/,1-10 employees,Self-funded,2018,B2B SaaS,Non-Profit,Sales and Marketing,Startup,www.RightGift.com,https://www.linkedin.com/company/rightgift/about/,Austin,"Austin, TX",Donation and gift-giving platform
Rivet Works,Michael Svatek,https://www.linkedin.com/in/rivetfounder/,11-50 employees,VC-funded,2013,B2B SaaS,Horizontal,Sales and Marketing,Small,rivet.works,https://www.linkedin.com/company/rivet-works-inc-/about/,Austin,"2700 W Anderson Ln, Suite 119, Austin, TX 78757",Content generation and customer engagement platform
Rizse,Colby Harvey,https://www.linkedin.com/in/rizsercolby/,1-10 employees,Angel or Seed Funding,2017,B2B SaaS,Aviation,Automation,Startup,www.rizse.io,https://www.linkedin.com/company/rizse/about/,Austin,"701 Brazos St, 500, Austin, Texas 78701, US",Autonomous drone platform
ROBOAMP,Roberto Inetti,https://www.linkedin.com/in/robertoinetti/,1-10 employees,Other,2017,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Startup,roboamp.com,https://www.linkedin.com/company/roboamp/about/,Austin,"Austin, TX",Website optimization and acceleration
Rocksauce Studios,Peter Yoder,https://www.linkedin.com/in/peteryoder/,201-500 employees,Acquired,2010,B2B SaaS,Horizontal,HR and Recruiting,Medium,www.rocksaucestudios.com,https://www.linkedin.com/company/rocksauce-studios/about/,Austin,"11900 Ranch Rd 620N, Austin, Texas 78750, US",HR software for midsized companies
Rokfin,Martin Floreani,https://www.linkedin.com/in/martin-floreani-a682136/,1-10 employees,Angel or Seed Funding,2018,B2B SaaS,Horizontal,Sales and Marketing,Startup,rokfin.com,https://www.linkedin.com/company/rokfin/about/,Austin,"Austin, TX",Content management and syndication platform
Rollick,Amit Maheshwari,https://www.linkedin.com/in/maheshwa/,51-200 employees,VC-funded,1997,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.rollick.io,https://www.linkedin.com/company/rollickinc/about/,Austin,"13215 Bee Cave Pkwy, Suite #A220, Austin, Texas 78738",Sales management platform for outdoor and recreation companies
Rootstack,Alejandro Oses,https://www.linkedin.com/in/alejandrooses/,51-200 employees,Self-funded,2011,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,www.rootstack.com,https://www.linkedin.com/company/rootstack/about/,Austin,"2021 Guadalupe Street, Dobie Center, Suite 260, Austin, Texas 78705",Business software
Roundup App,Braden Fineberg,https://www.linkedin.com/in/braden-fineberg/,11-50 employees,Acquired,2018,B2B SaaS,Non-Profit,Sales and Marketing,Small,www.roundupapp.com,https://www.linkedin.com/company/roundup-app/about/,Austin,"2802 Manor Rd., Austin, TX 78722",Donation platform
RoverPass,Ravi Parikh,https://www.linkedin.com/in/raviparikh1/,1-10 employees,VC-funded,2014,B2B SaaS,"Entertainment, Hospitality, Travel",Sales and Marketing,Startup,www.roverpass.com,https://www.linkedin.com/company/roverpass/about/,Austin,"800 Brazos St, Austin, TX 78701",Reservation Management System for campgrounds and RV parks
Rubrik,Bipul Sinha,https://www.linkedin.com/in/bipulsinha/,1001-5000 employees,Other,2014,B2B SaaS,Horizontal,IT Mgt,Large,www.rubrik.com,https://www.linkedin.com/company/rubrik-inc/about/,Austin,"15 Congress Ave, Austin, Texas 78701, US",Cloud data management platform
Ruckit,Tarun Nimmagadda,https://www.linkedin.com/in/tarunnimmagadda/,11-50 employees,Self-funded,2014,B2B SaaS,Construction,Logistics and Supply Chain,Small,www.goruckit.com,https://www.linkedin.com/company/ruckit-inc/about/,Austin,"1005 E Saint Elmo Rd, Austin, Texas US",Bulk material and trucking operations management for construction
"Saba, a Cornerstone OnDemand company",Phil Saunders,https://www.linkedin.com/in/philsaunders1/,1001-5000 employees,Acquired,1999,B2B SaaS,Horizontal,HR and Recruiting,Large,www.cornerstoneondemand.com,https://www.linkedin.com/company/cornerstone-ondemand/about/,Austin,"6300 Bridge Point Pkwy, Suite 2-200, Austin, TX 78730, USA",Talent management system
Safer Technologies,Freddy del Barrio,https://www.linkedin.com/in/freddy-del-barrio-7bb905122/,1-10 employees,Self-funded,2016,B2B SaaS,Horizontal,Communications,Startup,safertechnologies.io,https://www.linkedin.com/company/safertechnologies/about/,Austin,"701 Brazos St,, 16th Floor, Austin, TX 78701",White label mobile security solution that tracks and sends first responders
SailPoint Technologies,Mark McClain,https://www.linkedin.com/in/markmcclainceo/,501-1000 employees,Public,2004,B2B SaaS,Horizontal,IT Mgt,Large,www.sailpoint.com,https://www.linkedin.com/company/sailpoint-technologies/about/,Austin,"11200 Four Points Drive, Suite 100, Austin, Texas 78726",Identity and access management
Sails,Mike McNeil,https://www.linkedin.com/in/mikermcneil/,1-10 employees,Angel or Seed Funding,2014,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Startup,sailsjs.com,https://www.linkedin.com/company/the-sails-company/about/,Austin,"3801 N Capital of Texas Highway, Suite E240, #208 , Austin, TX 78746, US","Build custom, high-performance apps for Node.js"
SalesVu,Pascal Nicolas,https://www.linkedin.com/in/pascalnicolas/,11-50 employees,Angel or Seed Funding,2007,B2B SaaS,Horizontal,Point of Sale,Small,www.SalesVu.com,https://www.linkedin.com/company/salesvu/about/,Austin,"3925 W Braker Lane Austin, TX 78759, Austin, Texas 78705, US",POS system
Salient Systems,David Hood,https://www.linkedin.com/in/davidhood2/,51-200 employees,Self-funded,1995,B2B SaaS,Horizontal,On-Demand Services,Medium,www.salientsys.com,https://www.linkedin.com/company/salient-systems/about/,Austin,"4616 W. Howard Lane Building 1, Suite 100, Austin, TX 78728",Video surveillance management system
Salon and Spa Ultimate,Sean Maney,https://www.linkedin.com/in/smaney/,11-50 employees,Self-funded,2011,B2B SaaS,Retail,Business Mgt and ERP,Small,salonultimate.com,https://www.linkedin.com/company/salon-and-spa-ultimate/about/,Austin,"1717 I 35 N, Suite 210, Round Rock, TX 78664",Business management platform for salons and spas
SaltyCloud,Andrew Scheifele,https://www.linkedin.com/in/andrew-scheifele-3a040a8/,1-10 employees,Self-funded,2017,B2G,Government,Cybersecurity,Startup,www.saltycloud.com,https://www.linkedin.com/company/saltycloudpbc/about/,Austin,"701 Brazos St. #1600 Austin, TX 78701",Workflow automation tools that help maximize the impact of security and risk teams
samcart,Brian Moran,https://www.linkedin.com/in/brian-moran-13836115/,11-50 employees,Self-funded,2014,B2B SaaS,Retail,Ecommerce,Small,www.samcart.com,https://www.linkedin.com/company/samcart-llc/about/,Austin,"9020 N. Capital of Texas Highway, Building II, Suite # 368, Austin, TX 78759",Direct-to-consumer ecommerce platform
Sandbox Commerce,Sterling Smith,https://www.linkedin.com/in/sterlingssmith/,1-10 employees,Angel or Seed Funding,2017,B2B SaaS,Retail,Cloud and Software Dev Tools,Startup,www.sandboxcommerce.com,https://www.linkedin.com/company/sandboxcommerce/about/,Austin,"109 E 10th St, Ste 200, Austin, TX 78701, US",No code mobile apps for retail
SandBox Semiconductor,Meghali Chopra,https://www.linkedin.com/in/meghalichopra/,1-10 employees,Other,2016,B2B SaaS,Manufacturing,AI and Machine Learning,Startup,sandboxsemiconductor.com,https://www.linkedin.com/company/sandbox-semiconductor/about/,Austin,"Austin, TX",Semiconductor software tools
Scalable Software,Chris Gomersall,https://www.linkedin.com/in/cgomersall/,51-200 employees,Self-funded,2008,B2B SaaS,Horizontal,Analytics and BI,Medium,www.scalable.com,https://www.linkedin.com/company/scalable-software/about/,Austin,"600 Congress, Suite C100, Austin, TX 78701, US",Workforce analytics software
ScaleFactor,Kurt Rathmann,https://www.linkedin.com/in/kurtrathmann/,51-200 employees,VC-funded,2014,B2B SaaS,Horizontal,Accounting and Finance,Medium,www.scalefactor.com,https://www.linkedin.com/company/scalefactor/about/,Austin,"1408 E 13th Street, Austin, Texas 78702",Accounting and finance software with automated bookkeeping
Schoox,Lefteris Ntouanoglou,https://www.linkedin.com/in/lefterisntouanoglou/,51-200 employees,VC-funded,2012,B2B SaaS,Horizontal,HR and Recruiting,Medium,www.schoox.com,https://www.linkedin.com/company/schoox/about/,Austin,"701 Brazos Street Ste 539, Austin, TX 78701",Corporate LMS
SciComp,Elaine Kant,https://www.linkedin.com/in/elaine-kant-039921/,11-50 employees,Self-funded,1994,B2B SaaS,Financial Services,Analytics and BI,Small,www.scicomp.com,https://www.linkedin.com/company/scicomp/about/,Austin,"5806 Mesa Drive, Suite 250, Austin, TX 78731",Pricing and risk management modeling
Scrutinize,John Rea,https://www.linkedin.com/in/john-rea-04553013/,1-10 employees,Other,2020,B2B SaaS,Horizontal,Accounting and Finance,Startup,www.scrutinize.io,https://www.linkedin.com/company/scrutinizeio/about/,Austin,"Austin, TX",Audit software
Scrypt,Aleks Szymanski,https://www.linkedin.com/in/aleksszymanski/,51-200 employees,Self-funded,1998,B2B SaaS,Horizontal,Business Mgt and ERP,Medium,www.scryptinc.com,https://www.linkedin.com/company/scrypt/about/,Austin,"3800 North Lamar Blvd, Suite 200, Austin, TX 78756",Workflow management and collaboration for regulated industries
Searchify,Chris Lamprecht,https://www.linkedin.com/in/chrislamprecht/,1-10 employees,Self-funded,2012,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Startup,www.searchify.com,https://www.linkedin.com/company/searchify-com/about/,Austin,Austin,Search functionality for websites or applications
Second State,Michael Yuan,https://www.linkedin.com/in/myuan/,11-50 employees,VC-funded,2019,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Small,www.secondstate.io,https://www.linkedin.com/company/second-state/about/,Austin,"7401 W SLAUGHTER LN, SUITE 5076, AUSTIN, TX 78739, USA","WebAssembly execution engines, frameworks, and developer toolchain for the cloud"
SecureLink,Patrick Tickle,https://www.linkedin.com/in/patricktickle/,51-200 employees,Acquired,2003,B2B SaaS,Horizontal,Compliance,Medium,www.securelink.com,https://www.linkedin.com/company/securelink/about/,Austin,"11402 Bee Cave Road, Austin, TX 78738, US",Vendor privileged access management and remote support software
SelectHub,Venkat Devraj,https://www.linkedin.com/in/venkatsdevraj/,51-200 employees,VC-funded,2012,B2B SaaS,Horizontal,Accounting and Finance,Medium,selecthub.com,https://www.linkedin.com/company/selecthub/about/,Austin,"611 S. Congress Avenue, Suite 130, Austin, TX 78704",Software selection management platform
SendFox,Noah Kagan,https://www.linkedin.com/in/noahkagan/,11-50 employees,Self-funded,2010,B2B SaaS,Horizontal,Sales and Marketing,Small,sendfox.com,https://www.linkedin.com/company/sumo-group-sumo.com-appsumo.com-/about/,Austin,"1305 e 6th street, Austin, TX 78702, US",Email marketing platform
Senseye,David Zakariaie,https://www.linkedin.com/in/zakdavid/,11-50 employees,Angel or Seed Funding,2015,B2B SaaS,Healthcare,Analytics and BI,Small,senseye.co,https://www.linkedin.com/company/senseye-inc-/about/,Austin,"801 Congress Ave Suite 200, Austin, Texas 78701, US",Cognitive insights software
Sequense Software,Kimber Falkinburg,https://www.linkedin.com/in/kimberleefalkinburg/,1-10 employees,Self-funded,2020,B2B SaaS,"Entertainment, Hospitality, Travel",Business Mgt and ERP,Startup,sequense.my.canva.site,https://www.linkedin.com/company/sequense-software/about/,Austin,"9901 BRODIE LANE STE 160 #1233, AUSTIN, TEXAS 78748",Workflow management for travel industry
SerpApi,Julien Khaleghy,https://www.linkedin.com/in/julienkhaleghy/,1-10 employees,Self-funded,2017,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Startup,serpapi.com,https://www.linkedin.com/company/serpapi/about/,Austin,"5540 N Lamar Blvd #12, Austin, TX 78756",API for Google Search Results Scraping
ServiceDirect,Brian Abernethy,https://www.linkedin.com/in/brian-service-direct/,11-50 employees,Self-funded,2006,B2B SaaS,Horizontal,Marketplace,Small,servicedirect.com,https://www.linkedin.com/company/service-direct/about/,Austin,"4413 Pack Saddle Pass, Austin, TX 78704, US",Lead marketplace
Sevco Security,J.J. Guy,https://www.linkedin.com/in/jjguy/,1-10 employees,VC-funded,2020,B2B SaaS,Horizontal,Cybersecurity,Startup,www.sevco.io,https://www.linkedin.com/company/sevcosecurity/about/,Austin,"Austin, TX",Cybersecurity situational awareness
Shelfleet,Collette Doyle,https://www.linkedin.com/in/collette-doyle-86a95a76/,1-10 employees,Other,2021,B2B SaaS,Retail,Marketplace,Startup,www.shelfleet.com,https://www.linkedin.com/company/shelfleet/about/,Austin,"411 Monroe Street, Austin, Texas 78704",Retail consignment marketplace
Shep,Daniel Senyard,https://www.linkedin.com/in/dansenyard/,11-50 employees,Angel or Seed Funding,2016,B2B SaaS,Horizontal,On-Demand Services,Small,sheptravel.com,https://www.linkedin.com/company/shep/about/,Austin,"701 Brazos St, Austin, Texas",Business travel booking platform
ShipperHQ,Karen Baker,https://www.linkedin.com/in/wsakaren/,11-50 employees,Self-funded,2008,B2B SaaS,Retail,Logistics and Supply Chain,Small,shipperhq.com,https://www.linkedin.com/company/shipperhq/about/,Austin,"4801 Southwest Parkway, Building 2, Ste 240, Austin, TX 78735",SaaS shipping experience management for eCommerce
ShippingEasy,Katie May,https://www.linkedin.com/in/katie-may-3b00618/,51-200 employees,Acquired,2011,B2B SaaS,Retail,Ecommerce,Medium,shippingeasy.com,https://www.linkedin.com/company/shippingeasy/about/,Austin,"3700 N Capital of Texas Hwy, 550, Austin, TX 78746, US",Business management for eCommerce sellers
ShipStation,Nathan Jones,https://www.linkedin.com/in/nathan-jones-b998a/,201-500 employees,Acquired,2011,B2B SaaS,Horizontal,Ecommerce,Medium,www.ShipStation.com,https://www.linkedin.com/company/shipstation/about/,Austin,"3800 North Lamar Blvd, Suite 220, Austin, TX 78756, US",Order management platform
Shipwell,Greg Price,https://www.linkedin.com/in/gregorydprice/,51-200 employees,VC-funded,2016,B2B SaaS,Horizontal,Logistics and Supply Chain,Medium,shipwell.com,https://www.linkedin.com/company/shipwell/about/,Austin,"515 Congress Avenue, Suite 2650 | Austin, TX 78701",Supply chain management solution
Shopgate,Marc Biel,https://www.linkedin.com/in/marcbiel/,51-200 employees,VC-funded,2009,B2B SaaS,Retail,Ecommerce,Medium,www.shopgate.com,https://www.linkedin.com/company/shopgate/about/,Austin,"2222 Rio Grande St, Austin, Texas US",Mobile commerce suite
ShopManagerApp,Null,Null,1-10 employees,Self-funded,2017,B2B SaaS,Automotive,Business Mgt and ERP,Startup,shopmanagerapp.com,https://www.linkedin.com/company/shopgate/about/,Austin,"Austin, TX",Auto Shop Management Software
ShopSnap,Gal Ratner,https://www.linkedin.com/in/galratner/,11-50 employees,Self-funded,2014,B2B SaaS,Retail,Ecommerce,Small,shopsnap.io,https://www.linkedin.com/company/shopsnap/about/,Austin,"13401 Galleria Cir., Austin, Texas 78738, US",Online store platform
"SideChannel, formerly CipherLoc",Brian Haugli,https://www.linkedin.com/in/brianhaugli/,11-50 employees,Angel or Seed Funding,2006,B2B SaaS,Horizontal,Cybersecurity,Small,sidechannel.com,https://www.linkedin.com/company/sidechannelsecurity/about/,Austin,"6836 Bee Cave Road, Suite 279, Austin, TX 78746",Polymorphic encryption technology
Siemens Digital Industries Software,Tony Hemmelgarn,https://www.linkedin.com/in/tony-hemmelgarn/,"10,001+ employees",Public,1947,B2B SaaS,Horizontal,Business Mgt and ERP,Large,www.sw.siemens.com,https://www.linkedin.com/company/siemenssoftware/about/,Austin,"10800 Pecan Park Boulevard, Austin, TX 78750","Software enabling engineering, manufacturing, and electronics design"
Signpost,George Bilbrey,https://www.linkedin.com/in/gbilbrey/,51-200 employees,VC-funded,2010,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.signpost.com,https://www.linkedin.com/company/signpost/about/,Austin,"Austin, TX",Customer communication software
Sitetracker,Giuseppe Inciti,https://www.crunchbase.com/organization/sitetraker,51-200 employees,VC-funded,2013,B2B SaaS,Horizontal,IT Mgt,Medium,www.sitetracker.com,https://www.linkedin.com/company/sitetracker/about/,Austin,"Austin, TX",Infrastructure management platform
SKUSavvy,Alex Senn,https://www.linkedin.com/in/alexsenn/,1-10 employees,Self-funded,2020,B2B SaaS,Horizontal,Logistics and Supply Chain,Startup,www.skusavvy.com,https://www.linkedin.com/company/skusavvy/about/,Austin,"701 Brazos St, Austin, Texas 78701, US",Mobile WMS platform
Skyvera,Matt Taylor,https://www.linkedin.com/in/matt-p-taylor/,51-200 employees,Self-funded,2018,B2B SaaS,Horizontal,Communications,Medium,www.skyvera.com,https://www.linkedin.com/company/skyvera/about/,Austin,"401 Congress Avenue, Suite 2650, Austin, TX 78701 USA",End to end Telco application suite
Skyways,Charles Acknin,https://www.linkedin.com/in/charlesacknin/,1-10 employees,Angel or Seed Funding,2017,B2B SaaS,Horizontal,Logistics and Supply Chain,Startup,skyways.com,https://www.linkedin.com/company/skyways-air-transportation-inc/about/,Austin,"Austin, TX",Autonomous drone platform
Smart Apartment Data,Nichole Williams,https://www.linkedin.com/in/nichole-williams-a831887/,11-50 employees,Self-funded,2005,B2B SaaS,Real Estate,Analytics and BI,Small,smartapartmentdata.com,https://www.linkedin.com/company/smart-apartment-data/about/,Austin,"Austin, TX",Apartment data and market research
Smarter Sorting,Chris Ripley,https://www.linkedin.com/in/cbripley/,11-50 employees,VC-funded,2015,B2B SaaS,Retail,Document Management,Small,www.smartersorting.com,https://www.linkedin.com/company/smarter-sorting/about/,Austin,"4901 E. Cesar Chavez St., Austin, Texas 78702",Product catalog management platform
Smartly.io,Kristo Ovaska,https://www.linkedin.com/in/kristoovaska/,201-500 employees,Acquired,2013,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.smartly.io,https://www.linkedin.com/company/smartly-io/about/,Austin,"316 W 12th St - 6th Floor, Austin, TX 78701",Social advertising platform
SOCi,Afif Khoury,https://www.linkedin.com/in/afifkhoury/,51-200 employees,VC-funded,2012,B2B SaaS,Horizontal,Sales and Marketing,Medium,www.meetsoci.com,https://www.linkedin.com/company/soci-inc-/about/,Austin,"804 Las Cimas Pkwy #120, Austin, TX – 78746",Localized social marketing platform
Social Solutions,Erin Nelson,https://www.linkedin.com/in/erincnelson/,201-500 employees,VC-funded,2000,B2B SaaS,Non-Profit,Business Mgt and ERP,Medium,www.socialsolutions.com,https://www.linkedin.com/company/social-solutions/about/,Austin,"10801-2 North MoPac Expressway, Suite 400, Austin, TX 78759, US",Software for nonprofit and public sector organizations
SoftThinks,Roni Karmineke,https://www.linkedin.com/in/roni-karmineke-19bb763/,11-50 employees,Self-funded,2000,B2B SaaS,Horizontal,IT Mgt,Small,www.softthinks.com,https://www.linkedin.com/company/softthinks/about/,Austin,"3000 Polar Ln #802, Cedar Park, TX 78613 USA",Software deployment suite
Solarwinds,Sudhakar Ramakrishna,https://www.linkedin.com/in/sudhakar-ramakrishna-a58223/,1001-5000 employees,Public,1999,B2B SaaS,Horizontal,IT Mgt,Large,www.solarwinds.com,https://www.linkedin.com/company/solarwinds/about/,Austin,"7171 Southwest Pkwy, Austin, Texas 78735",IT infrastructure management software
Sonar Source,Olivier Gaudin,https://www.linkedin.com/in/oliviergaudin/,51-200 employees,VC-funded,2008,B2B SaaS,Horizontal,Cloud and Software Dev Tools,Medium,www.sonarsource.com,https://www.linkedin.com/company/sonarsource/about/,Austin,"111 W 6th St., 200, Austin, Texas 78701, US",QA for code repositories
SourceDay,Tom Kieley,https://www.linkedin.com/in/tomkieley/,51-200 employees,VC-funded,2013,B2B SaaS,Horizontal,Accounting and Finance,Medium,sourceday.com,https://www.linkedin.com/company/sourceday-com/about/,Austin,"9737 Great Hills Trail, Suite 100, Austin, Texas 78759","Purchase Order Management Platform for Syteline, Epicor and NetSuite ERPs"
SpaceCraft,Adam Moore,https://www.linkedin.com/in/adam-moore-3a0a7/,11-50 employees,Acquired,2010,B2B SaaS,Horizontal,Sales and Marketing,Small,gospacecraft.com,https://www.linkedin.com/company/spacecraft/about/,Austin,"701 Brazos St., Suite 950, Austin, Texas 78701",Website building and management software for small business
Spanning Cloud Apps,Heather Bendes,https://www.linkedin.com/in/heather-bendes-a353812/,51-200 employees,Acquired,2010,B2B SaaS,Horizontal,IT Mgt,Medium,spanning.com,https://www.linkedin.com/company/spanning-cloud-apps/about/,Austin,"5323 Levander Loop, Austin, Texas 78702",Backup and recovery for SaaS applications
